,ratio,vol-fcc,energy-fcc,vol-hcp,energy-hcp,energy-fcc-rel,energy-hcp-rel
0,95,9.26,-6.8077398,9.27,-6.8381151,0.27336972377319313,0.2429944237731938
1,96,9.55,-6.8882867,9.565,-6.91291347,0.19282282377319326,0.16819605377319302
2,97,9.85,-6.94770965,9.87,-6.967248185,0.13339987377319318,0.11386133877319349
3,98,10.16,-6.98791298,10.175,-7.00391066,0.09319654377319342,0.07719886377319352
4,99,10.48,-7.0110317,10.49,-7.02554112,0.07007782377319316,0.05556840377319361
5,100,10.8,-7.01909606,10.815,-7.03317063,0.0620134637731935,0.04793889377319349
6,101,11.12,-7.01390308,11.14,-7.028061635,0.06720644377319296,0.05304788877319311
7,102,11.46,-6.99755681,11.475,-7.01179737,0.08355271377319351,0.06931215377319333
8,103,11.8,-6.97322303,11.815,-6.98508943,0.10788649377319359,0.09602009377319298
9,104,12.15,-6.93946905,12.165,-6.94952644,0.14164047377319378,0.13158308377319372
10,105,12.5,-6.89744281,12.515,-6.905725065,0.1836667137731931,0.17538445877319297
